scenario,fullLocalCache,abiChangeWithMaxLeafLocalCache,abiChangeWithAvgLeafLocalCache,abiChangeWithMinLeafLocalCache,nonAbiChangeWithMaxLeafLocalCache,androidResourceChangeWithRootLocalCache,noOpLocalCache
build tool,Buck,Buck,Buck,Buck,Buck,Buck,Buck
version,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3,7694f1e39d4ae38fef53c5e5021d29c0f14bb6c3
hostname,oliviern,oliviern,oliviern,oliviern,oliviern,oliviern,oliviern
source,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/buck/benchmark.csv
tasks,//rootModule:src_debug,//rootModule:src_debug,//rootModule:src_debug,//rootModule:src_debug,//rootModule:src_debug,//rootModule:src_debug,//rootModule:src_debug
commands,,,,,,,
warm-up build #1,215287,42976,5049,2735,4147,2525,1887
measured build #1,212042,43919,4130,2694,3663,1922,2117
measured build #2,213672,42607,4592,2661,3770,1971,1970
mean,212857.0,43263.0,4361.0,2677.5,3716.5,1946.5,2043.5
min,212042.0,42607.0,4130.0,2661.0,3663.0,1922.0,1970.0
25th percentile,212042.0,42607.0,4130.0,2661.0,3663.0,1922.0,1970.0
median,212857.0,43263.0,4361.0,2677.5,3716.5,1946.5,2043.5
75th percentile,213672.0,43919.0,4592.0,2694.0,3770.0,1971.0,2117.0
max,213672.0,43919.0,4592.0,2694.0,3770.0,1971.0,2117.0
stddev,1152.5840533340725,927.7240969167503,326.683332908185,23.33452377915607,75.66042558696059,34.64823227814083,103.94469683442249
scenario,fullLocalCache,abiChangeWithMaxLeafLocalCache,abiChangeWithAvgLeafLocalCache,abiChangeWithMinLeafLocalCache,nonAbiChangeWithMaxLeafLocalCache,androidResourceChangeWithRootLocalCache,noOpLocalCache
build tool,Gradle,Gradle,Gradle,Gradle,Gradle,Gradle,Gradle
version,6.7,6.7,6.7,6.7,6.7,6.7,6.7
hostname,oliviern,oliviern,oliviern,oliviern,oliviern,oliviern,oliviern
source,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv,/home/user/Uber/generatedProjects/mobile_app1/output/20201219_061212/gradle/benchmark.csv
tasks,:rootModule:assembleDebug,:rootModule:assembleDebug,:rootModule:assembleDebug,:rootModule:assembleDebug,:rootModule:assembleDebug,:rootModule:assembleDebug,:rootModule:assembleDebug
commands,--no-build-cache,,,,,,
warm-up build #1,239135,76848,75280,38835,54114,55111,37955
measured build #1,81240,51641,10993,11087,30239,11465,11161
measured build #2,82750,50915,11272,10623,29208,13444,12387
mean,81995.0,51278.0,11132.5,10855.0,29723.5,12454.5,11774.0
min,81240.0,50915.0,10993.0,10623.0,29208.0,11465.0,11161.0
25th percentile,81240.0,50915.0,10993.0,10623.0,29208.0,11465.0,11161.0
median,81995.0,51278.0,11132.5,10855.0,29723.5,12454.5,11774.0
